Eje_X_Distancia Banda_1 Banda_2 Banda_3
3.14862083e+00 -3.25246219e-01 2.57070122e+00 3.56543845e+00
3.17673351e+00 -3.13772272e-01 2.54389832e+00 3.57641953e+00
3.20484620e+00 -3.02000935e-01 2.51708374e+00 3.58724078e+00
3.23295888e+00 -2.89950399e-01 2.49028954e+00 3.59788903e+00
3.26107157e+00 -2.77640413e-01 2.46354894e+00 3.60835143e+00
3.28918425e+00 -2.65092345e-01 2.43689634e+00 3.61861545e+00
3.31729694e+00 -2.52329232e-01 2.41036733e+00 3.62866894e+00
3.34540963e+00 -2.39375837e-01 2.38399881e+00 3.63850008e+00
3.37352231e+00 -2.26258700e-01 2.35782893e+00 3.64809746e+00
3.40163500e+00 -2.13006182e-01 2.33189718e+00 3.65745008e+00
3.42974768e+00 -1.99648508e-01 2.30624439e+00 3.66654734e+00
3.45786037e+00 -1.86217801e-01 2.28091277e+00 3.67537908e+00
3.48597306e+00 -1.72748102e-01 2.25594588e+00 3.68393560e+00
3.51408574e+00 -1.59275385e-01 2.23138867e+00 3.69220765e+00
3.54219843e+00 -1.45837551e-01 2.20728741e+00 3.70018649e+00
3.57031111e+00 -1.32474401e-01 2.18368971e+00 3.70786386e+00
3.59842380e+00 -1.19227596e-01 2.16064441e+00 3.71523202e+00
3.62653649e+00 -1.06140573e-01 2.13820150e+00 3.72228376e+00
3.65464917e+00 -9.32584476e-02 2.11641202e+00 3.72901242e+00
3.68276186e+00 -8.06278652e-02 2.09532790e+00 3.73541191e+00
3.71087454e+00 -6.82968173e-02 2.07500171e+00 3.74147669e+00
3.73898723e+00 -5.63144107e-02 2.05548651e+00 3.74720185e+00
3.76709992e+00 -4.47305856e-02 2.03683544e+00 3.75258305e+00
3.79521260e+00 -3.35957802e-02 2.01910149e+00 3.75761659e+00
3.82332529e+00 -2.29605407e-02 2.00233698e+00 3.76229942e+00
3.85143797e+00 -1.28750754e-02 1.98659321e+00 3.76662912e+00
3.87955066e+00 -3.38875576e-03 1.97191987e+00 3.77060393e+00
3.90766335e+00 5.45043052e-03 1.95836451e+00 3.77422280e+00
3.93577603e+00 1.35964665e-02 1.94597192e+00 3.77748535e+00
3.96388872e+00 2.10059213e-02 1.93478356e+00 3.78039191e+00
3.99200140e+00 2.76385801e-02 1.92483685e+00 3.78294356e+00
4.02011409e+00 3.34580691e-02 1.91616455e+00 3.78514208e+00
4.04822678e+00 3.84324580e-02 1.90879417e+00 3.78699003e+00
4.07633946e+00 4.25348160e-02 1.90274739e+00 3.78849073e+00
4.10445215e+00 4.57437016e-02 1.89803954e+00 3.78964826e+00
4.13256483e+00 4.80435640e-02 1.89467922e+00 3.79046753e+00
4.16067752e+00 4.94250394e-02 1.89266794e+00 3.79095423e+00
4.18879020e+00 4.98851278e-02 1.89200000e+00 3.79111487e+00
4.18879020e+00 4.98851278e-02 1.89200000e+00 3.79111487e+00
4.20284655e+00 4.97704692e-02 1.89216600e+00 3.79107519e+00
4.21690289e+00 4.94272418e-02 1.89266238e+00 3.79095682e+00
4.23095923e+00 4.88568606e-02 1.89348640e+00 3.79076081e+00
4.24501558e+00 4.80611241e-02 1.89463484e+00 3.79048826e+00
4.25907192e+00 4.70422050e-02 1.89610409e+00 3.79014034e+00
4.27312826e+00 4.58026388e-02 1.89789010e+00 3.78971826e+00
4.28718461e+00 4.43453111e-02 1.89998840e+00 3.78922329e+00
4.30124095e+00 4.26734435e-02 1.90239415e+00 3.78865674e+00
4.31529729e+00 4.07905777e-02 1.90510212e+00 3.78802000e+00
4.32935363e+00 3.87005588e-02 1.90810672e+00 3.78731450e+00
4.34340998e+00 3.64075178e-02 1.91140201e+00 3.78654173e+00
4.35746632e+00 3.39158527e-02 1.91498174e+00 3.78570324e+00
4.37152266e+00 3.12302091e-02 1.91883933e+00 3.78480062e+00
4.38557901e+00 2.83554609e-02 1.92296793e+00 3.78383553e+00
4.39963535e+00 2.52966898e-02 1.92736043e+00 3.78280970e+00
4.41369169e+00 2.20591655e-02 1.93200944e+00 3.78172488e+00
4.42774804e+00 1.86483252e-02 1.93690739e+00 3.78058291e+00
4.44180438e+00 1.50697537e-02 1.94204646e+00 3.77938567e+00
4.45586072e+00 1.13291637e-02 1.94741867e+00 3.77813510e+00
4.46991706e+00 7.43237629e-03 1.95301586e+00 3.77683320e+00
4.48397341e+00 3.38530238e-03 1.95882974e+00 3.77548203e+00
4.49802975e+00 -8.06075751e-04 1.96485186e+00 3.77408368e+00
4.51208609e+00 -5.13572187e-03 1.97107369e+00 3.77264033e+00
4.52614244e+00 -9.59756257e-03 1.97748659e+00 3.77115420e+00
4.54019878e+00 -1.41855032e-02 1.98408183e+00 3.76962756e+00
4.55425512e+00 -1.88934432e-02 1.99085065e+00 3.76806275e+00
